strain	date	country	continent
PV459914.1	2024-01-30	Brazil	South America
PV459915.1	2024-01-30	Brazil	South America
PV459916.1	2024-01-30	Brazil	South America
PV459917.1	2024-01-30	Brazil	South America
PV459918.1	2024-01-30	Brazil	South America
PV459919.1	2024-01-30	Brazil	South America
PV459920.1	2024-01-30	Brazil	South America
PV459921.1	2024-01-30	Brazil	South America
PV459922.1	2024-01-30	Brazil	South America
PV459923.1	2024-01-30	Brazil	South America
PV459924.1	2024-01-30	Brazil	South America
PV459925.1	2024-01-30	Brazil	South America
PV459926.1	2024-01-31	Brazil	South America
PV459927.1	2024-01-31	Brazil	South America
PV459928.1	2024-01-31	Brazil	South America
PV459929.1	2024-01-31	Brazil	South America
PV459930.1	2024-01-31	Brazil	South America
PV459931.1	2024-01-31	Brazil	South America
PX123017.1	2024-02-08	Brazil	South America
PX123018.1	2024-02-08	Brazil	South America
PX123019.1	2024-02-08	Brazil	South America
PX214392.1	2024-02-22	Brazil	South America
PX214393.1	2024-02-22	Brazil	South America
PX214394.1	2024-02-22	Brazil	South America
